S.No.,district,municipality,ward,Incident Place,event_date,Incident,,,,,,,,
338,Pyuthan,-,,,20/06/2014,Landslide,,,,,,,,
339,Lalitpur,Gimdi,,,22/06/2014,Landslide,,,,,,,,
340,Taplejung,Tapethok,,,24/06/2014,Landslide,,,,,,,,
341,Shankhuwasabha,Num,,,29/06/2014,Landslide,,,,,,,,
342,Tanahu,Shuklagandaki,,,30/06/2014,Landslide,,,,,,,,
343,Kapilbastu,Shivaraj,,,9/7/2014,Landslide,,,,,,,,
344,Nuwakot,-,,,12/7/2014,Landslide,,,,,,,,
345,Lalitpur,Lele,,,13/07/2014,Landslide,,,,,,,,
346,Sindhupalchowk,Chautara,,,13/07/2014,Landslide,,,,,,,,
347,Sindhupalchowk,Bhotsipa,,,13/07/2014,Landslide,,,,,,,,
348,Sindhupalchowk,Dhuskun,,,13/07/2014,Landslide,,,,,,,,
349,Kalikot,-,,,16/07/2014,Landslide,,,,,,,,
350,Kaski,Lumle,,,18/07/2014,Landslide,,,,,,,,
351,Dadeldhura,-,,,19/07/2014,Landslide,,,,,,,,
352,Kalikot,Manma,,,20/07/2014,Landslide,,,,,,,,
353,Lamjung,Karapu,,,20/07/2014,Landslide,,,,,,,,
354,Gorkha,Ashrang,,,22/07/2014,Landslide,,,,,,,,
355,Kalikot,Daha,,,28/07/2014,Landslide,,,,,,,,
356,Bajhang,Rilu,,,29/07/2014,Landslide,,,,,,,,
357,Okhaldhunga,Tarkerabari,,,29/07/2014,Landslide,,,,,,,,
358,Taplejung,-,,,29/07/2014,Landslide,,,,,,,,
359,Rolpa,Ghartigaun,,,31/07/2014,Landslide,,,,,,,,
360,Kalikot,Malkot,,,2/8/2014,Landslide,,,,,,,,
361,Sindhupalchowk,Mankha,,,2/8/2014,Landslide,,,,,,,,
362,Kavrepalanchowk,-,,,4/8/2014,Landslide,,,,,,,,
363,Shankhuwasabha,-,,,4/8/2014,Landslide,,,,,,,,
364,Bajura,Martadi,,,5/8/2014,Landslide,,,,,,,,
365,Mugu,-,,,8/8/2014,Landslide,,,,,,,,
366,Sindhupalchowk,-,,,8/8/2014,Landslide,,,,,,,,
367,Dolakha,Jiri,,,9/8/2014,Landslide,,,,,,,,
368,Jajarkot,Sakla,,,13/08/2014,Landslide,,,,,,,,
369,Jajarkot,-,,,13/08/2014,Landslide,,,,,,,,
370,Khotang,Phedi,,,13/08/2014,Landslide,,,,,,,,
371,Rukum,-,,,14/08/2014,Landslide,,,,,,,,
372,Jajarkot,-,,,14/08/2014,Landslide,,,,,,,,
373,Jajarkot,-,,,14/08/2014,Landslide,,,,,,,,
374,Jajarkot,-,,,14/08/2014,Landslide,,,,,,,,
375,Jajarkot,-,,,14/08/2014,Landslide,,,,,,,,
376,Jajarkot,-,,,14/08/2014,Landslide,,,,,,,,
377,Jajarkot,-,,,14/08/2014,Landslide,,,,,,,,
378,Lalitpur,Chandanpur,,,14/08/2014,Landslide,,,,,,,,
379,Khotang,Jalpa,,,14/08/2014,Landslide,,,,,,,,
380,Humla,Shreenagar,,,15/08/2014,Landslide,,,,,,,,
381,Salyan,Kalimati Rampur,,,15/08/2014,Landslide,,,,,,,,
382,Dang,Purandhara,,,15/08/2014,Landslide,,,,,,,,
383,Rolpa,-,,,15/08/2014,Landslide,,,,,,,,
384,Gorkha,-,,,15/08/2014,Landslide,,,,,,,,
385,Nuwakot,Mahakali,,,16/08/2014,Landslide,,,,,,,,
386,Nuwakot,Mahakali,,,16/08/2014,Landslide,,,,,,,,
387,Baglung,-,,,23/08/2014,Landslide,,,,,,,,
388,Sindhupalchowk,-,,,23/08/2014,Landslide,,,,,,,,
389,Baglung,-,,,24/08/2014,Landslide,,,,,,,,
390,Rasuwa,-,,,26/08/2014,Landslide,,,,,,,,
391,Nuwakot,Belkot,,,28/08/2014,Landslide,,,,,,,,
392,Nuwakot,Sunkhani,,,28/08/2014,Landslide,,,,,,,,
393,Nuwakot,Madanpur,,,10/9/2014,Landslide,,,,,,,,
394,Nuwakot,Madanpur,,,10/9/2014,Landslide,,,,,,,,
395,Bhojpur,Tungechha,,,14/09/2014,Landslide,,,,,,,,
396,Rolpa,Jugar,,,16/09/2014,Landslide,,,,,,,,
